X Y TOP_RDG BOTTOM_RDG VRT_GRAD TIME DATE LINE MARK
19 9 29645.9 29645.8 -0.164 11:14:49.00 10/05/22 20 398
19 8 29635.6 29637.8 3.607 11:14:33.00 10/05/22 20 396
19 7 29627.3 29630.9 5.902 11:14:19.00 10/05/22 20 394
19 6 29621.3 29626.7 8.852 11:14:02.00 10/05/22 20 392
19 5 29616.8 29624 11.803 11:13:40.00 10/05/22 20 390
19 4 29616.3 29621.7 8.852 11:13:07.00 10/05/22 20 388
19 3 29619.1 29625.8 10.984 11:12:28.00 10/05/22 20 386
19 2 29624.7 29629.4 7.705 11:11:51.00 10/05/22 20 384
19 1 29620.9 29625.4 7.377 11:11:22.00 10/05/22 20 382
19 0 29616.9 29622.2 8.689 11:11:06.00 10/05/22 20 380
18 9 29640.8 29642.1 2.131 11:09:41.00 10/05/22 19 378
18 8 29630.1 29634.4 7.049 11:09:29.00 10/05/22 19 376
18 7 29620.4 29627.9 12.295 11:09:14.00 10/05/22 19 374
18 6 29614.8 29622.6 12.787 11:08:43.00 10/05/22 19 372
18 5 29612.5 29621.2 14.262 11:08:11.00 10/05/22 19 370
18 4 29626 29629.1 5.082 11:07:38.00 10/05/22 19 368
18 3 29631.1 29630.9 -0.328 11:06:25.00 10/05/22 19 366
18 2 29634.9 29632 -4.754 11:05:59.00 10/05/22 19 364
18 1 29632.9 29630.4 -4.098 11:05:45.00 10/05/22 19 362
18 0 29623.9 29625 1.803 11:05:28.00 10/05/22 19 360
17 9 29634.3 29636.2 3.115 11:04:42.00 10/05/22 18 358
17 8 29621.8 29628 10.164 11:04:28.00 10/05/22 18 356
17 7 29612.2 29622.4 16.721 11:04:14.00 10/05/22 18 354
17 6 29607.3 29619.1 19.344 11:03:50.00 10/05/22 18 352
17 5 29611.8 29622.1 16.885 11:03:20.00 10/05/22 18 350
17 4 29627.7 29630.5 4.59 11:02:40.00 10/05/22 18 348
17 3 29641.6 29636.3 -8.689 11:01:58.00 10/05/22 18 346
17 2 29651.5 29642.7 -14.426 11:01:26.00 10/05/22 18 344
17 1 29646.6 29639.1 -12.295 11:01:06.00 10/05/22 18 342
17 0 29632.4 29633.5 1.803 11:00:40.00 10/05/22 18 340
16 9 29631.9 29635.1 5.246 10:58:58.00 10/05/22 17 338
16 8 29622.3 29626.1 6.23 10:58:42.00 10/05/22 17 336
16 7 29610.4 29620.6 16.721 10:58:27.00 10/05/22 17 334
16 6 29606.9 29619.4 20.492 10:58:12.00 10/05/22 17 332
16 5 29612.5 29623.6 18.197 10:57:57.00 10/05/22 17 330
16 4 29633.3 29638.9 9.18 10:57:38.00 10/05/22 17 328
16 3 29650.5 29645.4 -8.361 10:57:21.00 10/05/22 17 326
16 2 29659.4 29649.5 -16.23 10:56:59.00 10/05/22 17 324
16 1 29652.2 29644.2 -13.115 10:56:31.00 10/05/22 17 322
16 0 29635.7 29633.2 -4.098 10:56:16.00 10/05/22 17 320
15 9 29625.6 29631.7 10 10:54:58.00 10/05/22 16 318
15 8 29617.9 29627.3 15.41 10:54:42.00 10/05/22 16 316
15 7 29613.3 29623.7 17.049 10:54:22.00 10/05/22 16 314
15 6 29613 29624.6 19.016 10:54:06.00 10/05/22 16 312
15 5 29620.6 29628.8 13.443 10:53:45.00 10/05/22 16 310
15 4 29635.3 29637.5 3.607 10:53:29.00 10/05/22 16 308
15 3 29654.1 29649.6 -7.377 10:53:14.00 10/05/22 16 306
15 2 29662.3 29649.7 -20.656 10:52:59.00 10/05/22 16 304
15 1 29652.7 29647.1 -9.18 10:52:43.00 10/05/22 16 302
15 0 29636.6 29636.4 -0.328 10:52:29.00 10/05/22 16 300
14 9 29622.6 29629.5 11.311 10:51:30.00 10/05/22 15 298
14 8 29623.1 29628.8 9.344 10:51:15.00 10/05/22 15 296
14 7 29622.3 29625.7 5.574 10:50:59.00 10/05/22 15 294
14 6 29624.8 29628.2 5.574 10:50:44.00 10/05/22 15 292
14 5 29630.6 29631.6 1.639 10:50:29.00 10/05/22 15 290
14 4 29641.5 29638.2 -5.41 10:50:15.00 10/05/22 15 288
14 3 29653 29646.1 -11.311 10:50:00.00 10/05/22 15 286
14 2 29658.7 29649.3 -15.41 10:49:44.00 10/05/22 15 284
14 1 29648.8 29643.4 -8.852 10:49:31.00 10/05/22 15 282
14 0 29635.7 29637.1 2.295 10:49:10.00 10/05/22 15 280
13 8 29624.3 29629.9 9.18 10:46:13.00 10/05/22 14 278
13 7 29630 29633 4.918 10:45:57.00 10/05/22 14 276
13 6 29634.1 29634.3 0.328 10:45:45.00 10/05/22 14 274
13 5 29638.9 29637.9 -1.639 10:45:30.00 10/05/22 14 272
13 4 29643.9 29641 -4.754 10:45:14.00 10/05/22 14 270
13 3 29648.7 29644 -7.705 10:44:59.00 10/05/22 14 268
13 2 29647.4 29642.9 -7.377 10:44:40.00 10/05/22 14 266
13 1 29640.8 29639 -2.951 10:44:23.00 10/05/22 14 264
13 0 29632.9 29635.4 4.098 10:44:04.00 10/05/22 14 262
12 9 29622.6 29627.7 8.361 10:43:05.00 10/05/22 13 258
12 8 29623.9 29630.3 10.492 10:42:54.00 10/05/22 13 256
12 7 29630.3 29630.5 0.328 10:42:34.00 10/05/22 13 254
12 6 29635.7 29636.4 1.148 10:42:19.00 10/05/22 13 252
12 5 29639.8 29636.1 -6.066 10:41:59.00 10/05/22 13 250
12 4 29641.1 29638.6 -4.098 10:41:43.00 10/05/22 13 248
12 3 29641.7 29638.2 -5.738 10:41:24.00 10/05/22 13 246
